cluster_id,size,members
95857.0,2,"[95857, 97089]"
96228.0,2,"[96228, 96247]"
399.0,2,"[399, 33024]"
403.0,2,"[403, 81707]"
422.0,2,"[422, 76497]"
456.0,2,"[456, 91953]"
462.0,2,"[462, 82110]"
78.0,2,"[78, 91932]"
98.0,2,"[98, 6930]"
103.0,2,"[103, 42432]"
105.0,2,"[105, 53767]"
7336.0,2,"[7336, 76835]"
7337.0,2,"[7337, 77686]"
7341.0,2,"[7341, 23661]"
7342.0,2,"[7342, 77682]"
7347.0,2,"[7347, 77676]"
7360.0,2,"[7360, 7363]"
7494.0,2,"[7494, 7498]"
7510.0,2,"[7510, 7512]"
7551.0,2,"[7551, 7552]"
7585.0,2,"[7585, 95807]"
6697.0,2,"[6697, 77753]"
6723.0,2,"[6723, 62326]"
6794.0,2,"[6794, 6795]"
6902.0,2,"[6902, 82886]"
7033.0,2,"[7033, 7053]"
7036.0,2,"[7036, 97881]"
6426.0,2,"[6426, 40345]"
6438.0,2,"[6438, 6748]"
6440.0,2,"[6440, 93114]"
6492.0,2,"[6492, 6493]"
6523.0,2,"[6523, 34210]"
6551.0,2,"[6551, 40174]"
6563.0,2,"[6563, 13162]"
7769.0,2,"[7769, 79580]"
7791.0,2,"[7791, 57654]"
7840.0,2,"[7840, 7843]"
7848.0,2,"[7848, 7849]"
7859.0,2,"[7859, 52854]"
7882.0,2,"[7882, 77769]"
7190.0,2,"[7190, 10563]"
7198.0,2,"[7198, 84894]"
7216.0,2,"[7216, 99416]"
7608.0,2,"[7608, 88418]"
7628.0,2,"[7628, 89071]"
7672.0,2,"[7672, 96667]"
7677.0,2,"[7677, 22081]"
7723.0,2,"[7723, 32574]"
7733.0,2,"[7733, 88811]"
7742.0,2,"[7742, 77412]"
7754.0,2,"[7754, 88329]"
7041.0,2,"[7041, 97898]"
7058.0,2,"[7058, 97886]"
7061.0,2,"[7061, 97880]"
7086.0,2,"[7086, 95625]"
7125.0,2,"[7125, 7129]"
6320.0,2,"[6320, 99474]"
6412.0,2,"[6412, 6416]"
6421.0,2,"[6421, 40316]"
8548.0,2,"[8548, 77061]"
8555.0,2,"[8555, 8582]"
8567.0,2,"[8567, 77065]"
7909.0,2,"[7909, 42485]"
7911.0,2,"[7911, 7912]"
7956.0,2,"[7956, 76827]"
7959.0,2,"[7959, 97120]"
7960.0,2,"[7960, 31363]"
7967.0,2,"[7967, 9739]"
7973.0,2,"[7973, 64110]"
7980.0,2,"[7980, 34370]"
8147.0,2,"[8147, 79106]"
8176.0,2,"[8176, 8188]"
8197.0,2,"[8197, 8199]"
8229.0,2,"[8229, 17581]"
7598.0,2,"[7598, 28087]"
8713.0,2,"[8713, 88891]"
8738.0,2,"[8738, 8742]"
8758.0,2,"[8758, 38180]"
8765.0,2,"[8765, 40084]"
8249.0,2,"[8249, 77770]"
8252.0,2,"[8252, 77764]"
8253.0,2,"[8253, 77768]"
8316.0,2,"[8316, 21993]"
8327.0,2,"[8327, 22218]"
8489.0,2,"[8489, 81416]"
8523.0,2,"[8523, 77063]"
8529.0,2,"[8529, 77069]"
8531.0,2,"[8531, 77068]"
8532.0,2,"[8532, 77060]"
8536.0,2,"[8536, 77056]"
8541.0,2,"[8541, 77071]"
8954.0,2,"[8954, 39703]"
8964.0,2,"[8964, 8970]"
8973.0,2,"[8973, 8988]"
8984.0,2,"[8984, 8986]"
8994.0,2,"[8994, 9001]"
9063.0,2,"[9063, 9068]"
9072.0,2,"[9072, 77273]"
8572.0,2,"[8572, 77054]"
8609.0,2,"[8609, 77222]"
8630.0,2,"[8630, 77429]"
8648.0,2,"[8648, 30026]"
8661.0,2,"[8661, 99162]"
8676.0,2,"[8676, 82064]"
8680.0,2,"[8680, 95665]"
8695.0,2,"[8695, 8703]"
8698.0,2,"[8698, 55183]"
9153.0,2,"[9153, 81046]"
9226.0,2,"[9226, 9229]"
9282.0,2,"[9282, 9283]"
9389.0,2,"[9389, 95708]"
9488.0,2,"[9488, 84140]"
9505.0,2,"[9505, 9506]"
9512.0,2,"[9512, 91564]"
9532.0,2,"[9532, 9738]"
9623.0,2,"[9623, 76776]"
8810.0,2,"[8810, 8813]"
8908.0,2,"[8908, 86666]"
8914.0,2,"[8914, 96404]"
8915.0,2,"[8915, 33541]"
8919.0,2,"[8919, 11787]"
8951.0,2,"[8951, 94682]"
8953.0,2,"[8953, 89745]"
5776.0,2,"[5776, 87750]"
5830.0,2,"[5830, 49039]"
5863.0,2,"[5863, 57046]"
5890.0,2,"[5890, 45213]"
5937.0,2,"[5937, 81022]"
9879.0,2,"[9879, 88110]"
9895.0,2,"[9895, 98927]"
9916.0,2,"[9916, 11785]"
9953.0,2,"[9953, 94103]"
9975.0,2,"[9975, 34352]"
9984.0,2,"[9984, 78552]"
9073.0,2,"[9073, 9075]"
9074.0,2,"[9074, 82214]"
9076.0,2,"[9076, 55318]"
9081.0,2,"[9081, 30050]"
9118.0,2,"[9118, 68537]"
9676.0,2,"[9676, 88987]"
9717.0,2,"[9717, 96573]"
9766.0,2,"[9766, 9767]"
9784.0,2,"[9784, 84880]"
9789.0,2,"[9789, 94816]"
9815.0,2,"[9815, 9816]"
9827.0,2,"[9827, 79340]"
9863.0,2,"[9863, 78438]"
6595.0,2,"[6595, 21430]"
6671.0,2,"[6671, 24945]"
6678.0,2,"[6678, 74556]"
6689.0,2,"[6689, 99118]"
6693.0,2,"[6693, 45570]"
5712.0,2,"[5712, 5713]"
5721.0,2,"[5721, 5722]"
5770.0,2,"[5770, 5771]"
10964.0,2,"[10964, 10970]"
10974.0,2,"[10974, 77013]"
11012.0,2,"[11012, 77233]"
10006.0,2,"[10006, 96059]"
10059.0,2,"[10059, 10060]"
10078.0,2,"[10078, 10101]"
10105.0,2,"[10105, 83222]"
10127.0,2,"[10127, 10472]"
10161.0,2,"[10161, 76610]"
10203.0,2,"[10203, 10204]"
10310.0,2,"[10310, 10311]"
10339.0,2,"[10339, 74176]"
10483.0,2,"[10483, 77247]"
10517.0,2,"[10517, 23065]"
10549.0,2,"[10549, 10550]"
9626.0,2,"[9626, 65893]"
11413.0,2,"[11413, 48995]"
11433.0,2,"[11433, 23016]"
11437.0,2,"[11437, 24610]"
11448.0,2,"[11448, 98704]"
11449.0,2,"[11449, 88039]"
11463.0,2,"[11463, 45779]"
11499.0,2,"[11499, 93520]"
10590.0,2,"[10590, 43613]"
10593.0,2,"[10593, 92229]"
10669.0,2,"[10669, 10670]"
10718.0,2,"[10718, 91356]"
10731.0,2,"[10731, 10737]"
10750.0,2,"[10750, 92141]"
10767.0,2,"[10767, 10769]"
10853.0,2,"[10853, 25505]"
10912.0,2,"[10912, 94239]"
5358.0,2,"[5358, 78173]"
5360.0,2,"[5360, 78179]"
5373.0,2,"[5373, 18072]"
11793.0,2,"[11793, 28102]"
11801.0,2,"[11801, 77554]"
11805.0,2,"[11805, 27397]"
11824.0,2,"[11824, 11826]"
11860.0,2,"[11860, 11861]"
11035.0,2,"[11035, 18357]"
11046.0,2,"[11046, 97632]"
11127.0,2,"[11127, 11136]"
11189.0,2,"[11189, 11195]"
